ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT
00653,72,055,960900,72055960900,5297,2299,13182129,13138821,13307,6217,44681214,39477273,5297,2299,13182129,13138821,39.81,36.98,29.5,33.28,100,100,100,100
00653,72,055,961000,72055961000,1103,478,1323045,1323045,13307,6217,44681214,39477273,2821,1232,30073164,29963875,8.29,7.69,2.96,3.35,39.1,38.8,4.4,4.42
00653,72,055,961100,72055961100,3176,1452,27583597,22949829,13307,6217,44681214,39477273,3190,1456,29215554,24581786,23.87,23.36,61.73,58.13,99.56,99.73,94.41,93.36
00653,72,055,961200,72055961200,1696,936,415190,386841,13307,6217,44681214,39477273,1696,936,415190,386841,12.75,15.06,.93,.98,100,100,100,100
00653,72,055,961300,72055961300,2035,1052,2177253,1678737,13307,6217,44681214,39477273,2035,1052,2177253,1678737,15.29,16.92,4.87,4.25,100,100,100,100
00656,72,059,740101,72059740101,2722,1142,31669866,31665162,21481,8680,88324411,83968290,2722,1142,31669866,31665162,12.67,13.16,35.86,37.71,100,100,100,100
00656,72,059,740102,72059740102,4271,1720,14106918,14104293,21481,8680,88324411,83968290,4271,1720,14106918,14104293,19.88,19.82,15.97,16.8,100,100,100,100
00656,72,059,740200,72059740200,5475,1985,11419847,11418066,21481,8680,88324411,83968290,5475,1985,22089393,22087612,25.49,22.87,12.93,13.6,100,100,51.7,51.69
00656,72,059,740300,72059740300,3484,1525,1750060,1749581,21481,8680,88324411,83968290,3484,1525,1750060,1749581,16.22,17.57,1.98,2.08,100,100,100,100
00656,72,059,740400,72059740400,5529,2308,29377720,25031188,21481,8680,88324411,83968290,5629,2353,50355615,39872739,25.74,26.59,33.26,29.81,98.22,98.09,58.34,62.78
00659,72,065,310100,72065310100,8118,3339,13180432,11396474,41953,17365,111250595,108211415,8118,3339,13180432,11396474,19.35,19.23,11.85,10.53,100,100,100,100
