,name,boro,zip,link,state,latlng,lat,lng
128,Sakhi For South Asian Women,New York,10001,https://www.shelterlistings.org/details/24734/,NY,"40.7536854,-73.9991637",40.7536854,-73.9991637
129,Catholic Charities Community Services Archdiocese Of New York New York,New York,10022,https://www.shelterlistings.org/details/24760/,NY,"40.7593941,-73.9697795",40.7593941,-73.9697795
130,Partnership For The Homeless,New York,10001,https://www.shelterlistings.org/details/24643/,NY,"40.7467100,-73.9935186",40.7467100,-73.9935186
131,Bridge Fund Of New York Inc,New York,10016,https://www.shelterlistings.org/details/24645/,NY,"40.7510790,-73.9801940",40.7510790,-73.9801940
132,Women In Need,New York,10001,https://www.shelterlistings.org/details/24660/,NY,"40.7482539,-73.9899788",40.7482539,-73.9899788
133,Grand Central Neighborhood Social Services Corporation,New York,10016,https://www.shelterlistings.org/details/24678/,NY,"40.7511314,-73.9728652",40.7511314,-73.9728652
134,Ali Forney Center New York,New York,10001,https://www.shelterlistings.org/details/24680/,NY,"40.7519060,-73.9913090",40.7519060,-73.9913090
135,"Eis - Eviction Intervention Services Homelessness Prevention, Inc. New York",New York,10038,https://www.shelterlistings.org/details/24682/,NY,"40.7641488,-73.9619984",40.7641488,-73.9619984
136,Covenant House - HEADQUATERS,New York,10001,https://www.shelterlistings.org/details/24698/,NY,"40.7519810,-73.9940780",40.7519810,-73.9940780
137,Abyssinian Development Corp. - Abby House,New York,10027,https://www.shelterlistings.org/details/24724/,NY,"40.8155890,-73.9583027",40.8155890,-73.9583027
138,Safe Horizon - Homeless Youth Service: Streetwork Lower East Side Drop-In Center,New York,10002,https://www.shelterlistings.org/details/38227/,NY,"40.7160400,-73.9898140",40.7160400,-73.9898140
139,Safe Horizon - Homeless Youth Services: Streetwork Program,New York,10027,https://www.shelterlistings.org/details/24607/,NY,"40.7139740,-74.0039560",40.7139740,-74.0039560
140,"Create, Inc. - Young Adult Residences",New York,10026,https://www.shelterlistings.org/details/24617/,NY,"40.8005507,-73.9508819",40.8005507,-73.9508819
141,African Services Committee,New York,10027,https://www.shelterlistings.org/details/24634/,NY,"40.8133355,-73.9543686",40.8133355,-73.9543686
142,Womens Prison Association - Sarah Powell Huntington House,New York,10003,https://www.shelterlistings.org/details/24406/,NY,"40.7275440,-73.9879799",40.7275440,-73.9879799
143,United Cerebral Palsy - Overnight Respite,New York,10038,https://www.shelterlistings.org/details/24504/,NY,"40.7220709,-73.9999091",40.7220709,-73.9999091
144,The Doe Fund,New York,10028,https://www.shelterlistings.org/details/24508/,NY,"40.7768592,-73.9536256",40.7768592,-73.9536256
145,"Bowery Residents Committee, Inc. New York",New York,10001,https://www.shelterlistings.org/details/24558/,NY,"40.7255066,-73.9950686",40.7255066,-73.9950686
146,Goddard-Riverside Community Center - Homeless and Formerly Homeless,New York,10024,https://www.shelterlistings.org/details/24564/,NY,"40.7880614,-73.9709995",40.7880614,-73.9709995
147,"Comunilife, Inc. New York",New York,11234,https://www.shelterlistings.org/details/24576/,NY,"40.6569840,-73.9987660",40.6569840,-73.9987660
148,Coalition For The Homeless,New York,10038,https://www.shelterlistings.org/details/24581/,NY,"40.7101188,-74.0072245",40.7101188,-74.0072245
149,Center For Urban Community Services,New York,10035,https://www.shelterlistings.org/details/24583/,NY,"40.6998433,-74.0072436",40.6998433,-74.0072436
150,Association To Benefit Children,New York,10028,https://www.shelterlistings.org/details/24597/,NY,"40.7767640,-73.9483900",40.7767640,-73.9483900
151,Nazareth Housing,New York,10009,https://www.shelterlistings.org/details/22170/,NY,"40.7275043,-73.9800645",40.7275043,-73.9800645
153,"Praxis Housing Initiatives, Inc. New York",New York,10004,https://www.shelterlistings.org/details/22918/,NY,"40.7049706,-74.0159611",40.7049706,-74.0159611
154,New Destiny Housing Corporation New York,New York,10018,https://www.shelterlistings.org/details/23040/,NY,"40.7509474,-73.9845399",40.7509474,-73.9845399
155,Met Council,New York,10271,https://www.shelterlistings.org/details/23131/,NY,"40.7654771,-73.9804821",40.7654771,-73.9804821
156,Harlem United - HIV/AIDS,New York,10027,https://www.shelterlistings.org/details/21128/,NY,"40.8080585,-73.9451838",40.8080585,-73.9451838
157,Sanctuary For Families - Sarah Burke House Transitional Shelter,New York,10268,https://www.shelterlistings.org/details/21134/,NY,"40.7059771,-74.0087537",40.7059771,-74.0087537
158,Help Usa - Home Office,New York,10004,https://www.shelterlistings.org/details/21181/,NY,"40.7038704,-74.0138541",40.7038704,-74.0138541
159,St. Paul's House - Men's Shelter (for Men),New York,10019,https://www.shelterlistings.org/details/19634/,NY,"40.7636108,-73.9870452",40.7636108,-73.9870452
160,The Bowery Mission,New York,10002,https://www.shelterlistings.org/details/19635/,NY,"40.7219670,-73.9928350",40.7219670,-73.9928350
161,The Bowery Mission Men's Center on Avenue D,New York,10009,https://www.shelterlistings.org/details/19637/,NY,"40.7216560,-73.9778369",40.7216560,-73.9778369
163,New York City Rescue Mission - Overnight Shelter,New York,10013,https://www.shelterlistings.org/details/19639/,NY,"40.7174341,-74.0015862",40.7174341,-74.0015862
164,Good Shepherd Services - Marian Hall Residence (for Girls),New York,10003,https://www.shelterlistings.org/details/19880/,NY,"40.7339230,-73.9827718",40.7339230,-73.9827718
